timestamp,load_weight,speed,operating_hours,ambient_temp,humidity,time_of_day,maintenance_days_since,contact_cycles,season,building_floors,usage_intensity,system_name,component_name,parameter_name,unit,parameter_value,anomaly_score,severity_level,load_level,operating_level,maintenance_status,deviation_from_baseline,deviation_percentage,environmental_stress,usage_intensity_score,composite_risk_score,hour,day_of_week,month,is_weekend,is_peak_hour,parameter_value_lag1,parameter_value_lag7,anomaly_score_lag1,anomaly_score_lag7,anomaly_score_rolling_mean_7d,anomaly_score_rolling_std_7d,anomaly_score_rolling_mean_30d,anomaly_score_rolling_std_30d,anomaly_level
2023-08-15 04:28:33.754431,168.60314436152083,0.8212683883135948,551.4883211129202,28.73101330427217,77.26397875157305,night,24,51954,summer,10,low,electrical,电源,voltageFluctuation,%,0.452,0.013565657694713202,normal,light,new,recent,0.452,0.0,0.8047007992165434,0.3,0.36937778465246823,4,1,8,False,False,2.5,4.782,0.0,0.6564885046111298,0.1821629824950441,0.2328899264730613,0.1821629824950441,0.2328899264730613,低
2023-08-15 05:46:31.754431,198.20764533626024,0.7262790685825933,13017.863810692445,29.431359182343744,87.1684090476907,night,31,24277,summer,30,low,electrical,电源,contactVoltageDrops,mV,145.702,0.9742103128334708,critical,light,old,due_soon,120.702,482.808,1.122346144426642,0.3,0.7374340106079802,5,1,8,False,False,0.452,4.782,0.013565657694713202,0.6564885046111298,0.2275518122410928,0.3448090192703995,0.2811688987873474,0.3534216237472436,高
2023-08-15 12:14:35.754431,304.89930083714006,1.2128146978783065,1624.8479770458673,33.35988073453175,77.56776515000828,afternoon,102,74281,summer,20,medium,electrical,电源,voltageFluctuation,%,0.0,0.0,normal,medium,new,overdue,0.0,0.0,1.275182202203382,0.6,0.7027743994899082,12,1,8,False,False,6.091,0.452,0.7136697424910109,0.013565657694713202,0.7889541320372905,0.36472798753432223,0.4855585572661673,0.43076582818640846,低
2023-08-16 01:39:49.754431,7.140942881527201,0.8313224932529668,10977.457506414143,23.70920043740488,78.91635179680614,night,37,51313,summer,30,low,electrical,负载,currentLoad,A,18.963,0.0750001590539589,normal,light,old,due_soon,0.46300000000000097,2.502702702702708,0.3438288386606416,0.3,0.49559015006645407,1,2,8,False,False,9.012,33.528,0.05861074054801363,1.0,0.5207444797846476,0.4016243291884232,0.530712727591327,0.4037639387606968,低
2023-08-16 02:06:31.754431,120.66226216634581,0.596989385775568,1434.4794593562076,27.663986057097592,78.31831769961693,night,116,91597,summer,25,low,electrical,控制器,controlResponseTime,秒,1.011,0.7034190638157375,critical,light,new,overdue,0.7109999999999999,236.99999999999997,0.7243565482001824,0.3,0.6066628373857542,2,2,8,False,False,18.963,9.229,0.0750001590539589,1.0,0.4783757746154672,0.35565222022980986,0.5371092585626015,0.3973157876605429,高
2023-08-16 16:20:07.754431,428.34983460076273,1.1666890902098819,11191.45607230568,31.406798261016572,75.92204184176127,afternoon,6,9998,summer,25,medium,electrical,电源,voltageFluctuation,%,0.0,0.0,normal,medium,old,recent,0.0,0.0,1.038730872145689,0.6,0.6042545793845706,16,2,8,False,False,3.187,18.963,0.3374792658310016,0.0750001590539589,0.30854581458861396,0.2585472994363284,0.49554998071139067,0.39698690447286694,低
2023-08-16 18:07:55.754431,524.9379855217765,1.7080981842110061,10873.88021468363,28.213622690164573,72.54071909061179,evening,53,36049,summer,10,high,electrical,电源,contactVoltageDrops,mV,25.41,0.06885596568410804,normal,medium,old,due_soon,0.41000000000000014,1.6400000000000006,0.634880246281752,1.0,0.6495648276054055,18,2,8,False,True,20.974,0.881,0.5685657453235701,0.6049758434624171,0.21269250083568877,0.19062667487655924,0.5111399370243961,0.38946179304074563,低
2023-08-16 23:35:03.754431,177.32422073497466,0.5463973179218222,4413.956993437016,26.800859549498885,73.55182750103313,night,41,74553,summer,25,low,electrical,负载,currentLoad,A,19.611,0.18021844567795722,normal,light,medium,due_soon,1.1110000000000007,6.005405405405409,0.5188816424757168,0.3,0.42290033253124665,23,2,8,False,False,3.325,20.974,0.36498031285181265,0.5685657453235701,0.44933804827609736,0.35517234621684635,0.4807644170817424,0.34833736686063205,低
2023-08-17 00:42:16.754431,9.381467111527474,0.5969546677241783,10732.57323719959,25.401303053178577,78.82853386946876,night,63,4412,summer,10,low,electrical,电源,contactVoltageDrops,mV,15.553,0.21670031395342262,normal,light,old,overdue,9.447,37.788,0.5108436520545766,0.3,0.642116178178183,0,3,8,False,False,5.219,2.124,0.13127897080519055,1.0,0.37799414672196885,0.32233580529933975,0.47408143952611076,0.35077474143194326,低
2023-08-17 04:31:28.754431,27.10461451753494,0.6204252427417993,7712.148269572352,31.393298043118634,84.05267756001639,night,119,88415,summer,25,low,electrical,电源,contactVoltageDrops,mV,56.614,0.35290910506730966,warning,light,medium,overdue,31.613999999999997,126.45599999999999,1.2406467433122732,0.3,0.83804773932383,4,3,8,False,False,1.067,10.679,0.720204869479311,0.14151058956477156,0.4237560025478576,0.320452376536907,0.47237410245227623,0.3344838093071325,中
